yyyymmdd,portfolio,allocation,contribution
2020-01-07,LPPI GF FT EGL BNYMILTD BRZEX650557,0.00040901115745334906,0.00020953241131291126
2020-01-08,LPPI  GF BARON BNYMILTD BRZEX589145,0.0032025566752159366,0.0015355404547832702
2020-01-08,LPPI GEF BARON BNYMILTD,0.04879605168820341,0.04714212469173876
2020-01-08,LPPI GEF CASH ONLY BNYMILTD,0.0,0.01113372503296625
2020-01-08,LPPI GEF FIRST EAGLE BNYMILTD,0.12374590346443015,0.19720767025837815
2020-01-08,LPPI GEF INTERNAL EQUITY BNYMILTD,0.41466483240916724,0.29954924801648675
2020-01-08,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.00160315793916482,0.0019843263659389087
2020-01-08,LPPI GEF MAGELLAN BNYMILTD,0.1589302409382785,0.1919230618765567
2020-01-08,LPPI GEF ROBECO BNYMILTD,0.1470576666388143,0.16827863523178768
2020-01-08,LPPI GEF WELLINGTON BNYMILTD,0.10160030300766061,0.08104543258739393
2020-01-08,LPPI GF FT EGL BNYMILTD BRZEX650557,0.0003992872390657245,0.00020023548396963812
2020-01-09,LPPI  GF BARON BNYMILTD BRZEX589145,0.00315369874247628,0.0015318958693509006
2020-01-09,LPPI GEF BARON BNYMILTD,0.04916604609638071,0.04764344796417758
2020-01-09,LPPI GEF CASH ONLY BNYMILTD,0.0,0.011019758989886894
2020-01-09,LPPI GEF FIRST EAGLE BNYMILTD,0.12303554754859344,0.19709530396448763
2020-01-09,LPPI GEF INTERNAL EQUITY BNYMILTD,0.41497273486709874,0.29970703849262686
2020-01-09,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.0016097740892474092,0.0019930139107133555
2020-01-09,LPPI GEF MAGELLAN BNYMILTD,0.15944966140635253,0.19169488832787332
2020-01-09,LPPI GEF ROBECO BNYMILTD,0.14654659717032242,0.16799161991269973
2020-01-09,LPPI GEF WELLINGTON BNYMILTD,0.10169625185372827,0.08113365877427751
2020-01-09,LPPI GF FT EGL BNYMILTD BRZEX650557,0.00036968822580128307,0.00018937379390668595
2020-01-10,LPPI  GF BARON BNYMILTD BRZEX589145,0.003139747166463851,0.0015255472161074426
2020-01-10,LPPI GEF BARON BNYMILTD,0.04918666598525903,0.048168392941524384
2020-01-10,LPPI GEF CASH ONLY BNYMILTD,0.0,0.011046646250630322
2020-01-10,LPPI GEF FIRST EAGLE BNYMILTD,0.12304621271904231,0.1978249434182192
2020-01-10,LPPI GEF INTERNAL EQUITY BNYMILTD,0.41487029214122917,0.2993925076293308
2020-01-10,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.0016065025263676772,0.002007260745432517
2020-01-10,LPPI GEF MAGELLAN BNYMILTD,0.15974232076660166,0.1923776784336449
2020-01-10,LPPI GEF ROBECO BNYMILTD,0.14662945608765543,0.16674884700360645
2020-01-10,LPPI GEF WELLINGTON BNYMILTD,0.1014067328506788,0.08071208478961842
2020-01-10,LPPI GF FT EGL BNYMILTD BRZEX650557,0.00037206975670113035,0.00019609157188497266
2020-01-13,LPPI  GF BARON BNYMILTD BRZEX589145,0.003161453753798355,0.0015024175757614756
2020-01-13,LPPI GEF BARON BNYMILTD,0.04995758061722089,0.04819942396833758
2020-01-13,LPPI GEF CASH ONLY BNYMILTD,0.0,0.011199323050835932
2020-01-13,LPPI GEF FIRST EAGLE BNYMILTD,0.10910934747453739,0.19250444547973694
2020-01-13,LPPI GEF INTERNAL EQUITY BNYMILTD,0.426999602919884,0.30294851360605163
2020-01-13,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.0016643185100271316,0.0020443510871373913
2020-01-13,LPPI GEF MAGELLAN BNYMILTD,0.16523909807209097,0.19552839792826127
2020-01-13,LPPI GEF ROBECO BNYMILTD,0.14560042616078117,0.16635445887027242
2020-01-13,LPPI GEF WELLINGTON BNYMILTD,0.09788991545517815,0.07952400810856837
2020-01-13,LPPI GF FT EGL BNYMILTD BRZEX650557,0.00037825703648177117,0.0001946603250361546
2020-01-14,LPPI  GF BARON BNYMILTD BRZEX589145,0.0030900757324983513,0.0014891058262299765
2020-01-14,LPPI GEF BARON BNYMILTD,0.04995046156012231,0.0484691304083068
2020-01-14,LPPI GEF CASH ONLY BNYMILTD,0.0,0.011129548037983238
2020-01-14,LPPI GEF FIRST EAGLE BNYMILTD,0.12260370547833709,0.197471169097452
2020-01-14,LPPI GEF INTERNAL EQUITY BNYMILTD,0.4144864219144238,0.2990156844286452
2020-01-14,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.001616934232728578,0.002008497571040098
2020-01-14,LPPI GEF MAGELLAN BNYMILTD,0.15991504444717614,0.1924752751545242
2020-01-14,LPPI GEF ROBECO BNYMILTD,0.14685710763432455,0.16727148823297577
2020-01-14,LPPI GEF WELLINGTON BNYMILTD,0.10110887473389059,0.08047647540404143
2020-01-14,LPPI GF FT EGL BNYMILTD BRZEX650557,0.0003713742664991197,0.00019362583880297999
2020-01-15,LPPI  GF BARON BNYMILTD BRZEX589145,0.002972973759903336,0.0014292501241766435
2020-01-15,LPPI GEF BARON BNYMILTD,0.049313274613718705,0.04813861786706354
2020-01-15,LPPI GEF CASH ONLY BNYMILTD,0.0,0.01114609367359192
2020-01-15,LPPI GEF FIRST EAGLE BNYMILTD,0.12203067139925601,0.19693694521513716
2020-01-15,LPPI GEF INTERNAL EQUITY BNYMILTD,0.4157744402565721,0.2998298555995202
2020-01-15,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.0016139560413309536,0.0019996059390445255
2020-01-15,LPPI GEF MAGELLAN BNYMILTD,0.16031770764766598,0.1929684753016094
2020-01-15,LPPI GEF ROBECO BNYMILTD,0.14661204385997773,0.16700437157089593
2020-01-15,LPPI GEF WELLINGTON BNYMILTD,0.10100974453603115,0.08036221366232087
2020-01-15,LPPI GF FT EGL BNYMILTD BRZEX650557,0.0003551878855447506,0.00018457104664024794
2020-01-16,LPPI  GF BARON BNYMILTD BRZEX589145,0.0029065765741834704,0.0013996648287497384
2020-01-16,LPPI GEF BARON BNYMILTD,0.049352561771012084,0.04793244106514687
2020-01-16,LPPI GEF CASH ONLY BNYMILTD,0.0,0.011071305019141412
2020-01-16,LPPI GEF FIRST EAGLE BNYMILTD,0.12167894208176064,0.19657776715271774
2020-01-16,LPPI GEF INTERNAL EQUITY BNYMILTD,0.415528385663287,0.2999523832450504
2020-01-16,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.001613464648126349,0.001996256403623998
2020-01-16,LPPI GEF MAGELLAN BNYMILTD,0.1604921231668207,0.19328626767904206
2020-01-16,LPPI GEF ROBECO BNYMILTD,0.1469603783808397,0.1672254553158487
2020-01-16,LPPI GEF WELLINGTON BNYMILTD,0.1011134949996066,0.08037407898585666
2020-01-16,LPPI GF FT EGL BNYMILTD BRZEX650557,0.00035407271436407916,0.00018438030482275994
